name,tier,tier_label,sector,status,next_contact,notes
"TIM","1","Existing client","Telco","contacted","2026-05-14","Won 5/9 bids, €150k total, last win 2016"
"Fondazione AIRC","1","Existing client","Non-profit","contacted","2026-05-22","Why Me doc — direct relationship, not in bid records"
"Alfa Romeo / Stellantis","1","Existing client","Auto","contacted","2026-05-14","Won 2/10 bids, €91k total, last win 2021"
"Restivoil / Perrigo","1","Existing client","Pharma","contacted","2026-05-16","Won 2/3 bids, €192k total, last win 2020"
"Hyundai","1","Existing client","Auto","pending","2026-05-15","Won 2/3 bids, €71k total, last win 2021"
"Coca-Cola","1","Existing client","Food/Drinks","pending","2026-05-15","Won 2/3 bids, €36k total, last win 2017"
"Poste Italiane","1","Existing client","Finance","pending","2026-05-15","Won 2/5 bids, €109k total, last win 2020 — reactivate"
"Sony","1","Existing client","Tech","pending","2026-05-15","The Teachers agency spot — direct relationship"
"Ferragamo","1","Existing client","Fashion","pending","2026-05-15","Won 2/2 bids, €4k total, last win 2018"
"Bulgari","1","Existing client","Luxury","pending","2026-05-16","Filmmaster production — direct relationship"
"Carrefour","1","Existing client","Supermarket","pending","2026-05-16","Won 1/1 bids, €35k total, last win 2016"
"Sofitel MGallery","1","Existing client","Hospitality","pending","2026-05-16","Kiwi branded content — direct relationship"
"CDP","1","Existing client","Finance","pending","2026-05-17","Won 3/5 bids, €34k total, last win 2022"
"H&M","1","Existing client","Fashion","pending","2026-05-17","Won 1/1 bids, €1k total, last win 2019"
"Nivea / Beiersdorf","1","Existing client","Beauty","pending","2026-05-17","Won 3/6 bids, €84k total, last win 2017"
"Automobile.it","1","Existing client","Auto","pending","2026-05-18","Won 1/1 bids, €136k total, last win 2021"
"Netflix","1","Existing client","Streaming/TV","pending","2026-05-18","Won 1/3 bids, €15k total, last win 2019"
"Rai","1","Existing client","Media","pending","2026-05-18","Past collaboration confirmed via presentation"
"Enel","1","Existing client","Energy","pending","2026-05-19","Won 4/8 bids, €22k total, last win 2021"
"Pfizer","1","Existing client","Pharma","pending","2026-05-19","Won 4/8 bids, €82k total, last win 2019"
"Lavazza","1","Existing client","Food/Drinks","pending","2026-05-19","Past collaboration confirmed via presentation"
"Unicef","1","Existing client","Non-profit","pending","2026-05-20","Past collaboration confirmed via presentation"
"Telethon","1","Existing client","Non-profit","pending","2026-05-20","Past collaboration confirmed via presentation"
"P&G","1","Existing client","FMCG","pending","2026-05-20","Won 2/2 bids, €78k total, last win 2020"
"Verti","1","Existing client","Insurance","pending","2026-05-21","Won 1/3 bids, €182k total, last win 2022"
"Lamborghini","1","Existing client","Cars","pending","2026-05-21","Won 1 bid"
"Ufirst","1","Existing client","Tech","pending","2026-05-21","Won 1/1 bids, €9k total, last win 2019"
"Trenitalia","2","AI video angle","Transport","contacted","2026-05-15","Quoted 2x, never won — AI video done, offer private demo"
"Orlandelli","1","Existing client","Special","contacted","2026-05-14","AI video will resonate immediately — top priority cold"
"IBM Italia","2","AI video angle","Tech","pending","2026-05-19","AI corporate content — perfect natural fit"
"Microsoft","2","AI video angle","Tech","pending","2026-05-19","AI content — natural fit for institutional storytelling"
"Amazon","2","AI video angle","Tech","pending","2026-05-20","AI branded content natural fit"
"Samsung","2","AI video angle","Tech","pending","2026-05-20","Quoted 1x, never won"
"Huawei","3","Institutional","Tech","pending","2026-05-21","Quoted 5x in bids, 0 wins — low conversion probability"
"Open Fiber","1","Existing client","Tech","pending","2026-05-22","Won 3/4 bids, €36k total, last win 2019"
"Dronus","2","AI video angle","Tech","pending","2026-05-22","Drone tech — AI content natural fit"
"Eni","2","AI video angle","Energy","pending","2026-05-18","Quoted 1x, never won"
"ACEA","2","AI video angle","Energy","pending","2026-05-19","Institutional AI storytelling"
"Enel X","1","Existing client","Energy","pending","2026-05-20","Won 1/3 bids, €1k total, last win 2018"
"Terna","2","AI video angle","Energy","pending","2026-05-22","Energy infrastructure content"
"Sorgenia","2","AI video angle","Energy","pending","2026-05-23","Quoted 1x, never won"
"Italgas","2","AI video angle","Energy","pending","2026-05-23","Quoted 1x, never won"
"Generali","2","AI video angle","Insurance","pending","2026-05-19","Brand storytelling — large investment"
"Allianz","2","AI video angle","Insurance","pending","2026-05-20","Brand storytelling — large investment"
"Sara Assicurazioni","1","Existing client","Insurance","pending","2026-05-21","Won 2/3 bids, €55k total, last win 2017"
"Unipol / UnipolSai","1","Existing client","Insurance","pending","2026-05-22","Won 1/2 bids, €8k total, last win 2016"
"Ferrero","2","AI video angle","Food/Drinks","pending","2026-05-20","Large lost bid €120k — AI video for product storytelling"
"Barilla","2","AI video angle","Food/Drinks","pending","2026-05-21","AI video for brand storytelling"
"Nestle","1","Existing client","Food/Drinks","pending","2026-05-22","Won 1/1 bids, €6k total, last win 2023"
"Heineken","2","AI video angle","Food/Drinks","pending","2026-05-23","Large content production needs"
"Campari","2","AI video angle","Spirits","pending","2026-05-24","Large content production needs"
"Aperol","2","AI video angle","Spirits","pending","2026-05-24","Large content production needs"
"De Longhi","2","AI video angle","Consumer","pending","2026-05-21","AI video for premium product content"
"Electrolux","2","AI video angle","Consumer","pending","2026-05-25","Large consumer content needs"
"Eminflex","2","AI video angle","Consumer","pending","2026-05-26","TV advertising — video production"
"Poltronesofà","2","AI video angle","Consumer","pending","2026-05-26","TV advertising — video production"
"Natuzzi","2","AI video angle","Consumer","pending","2026-05-27","Italian premium furniture content"
"ITA Airways","2","AI video angle","Transport","pending","2026-05-19","AI institutional content — airline storytelling"
"Air France","2","AI video angle","Transport","pending","2026-05-27","Airline brand content"
"ATM Milano","2","AI video angle","Transport","pending","2026-05-28","Quoted 1x, never won"
"Fastweb","2","AI video angle","Telco","pending","2026-05-20","Large video content budget"
"Vodafone","2","AI video angle","Telco","pending","2026-05-21","Quoted 1x, never won"
"Wind","2","AI video angle","Telco","pending","2026-05-22","Quoted 2x, never won"
"BNL","1","Existing client","Finance","pending","2026-05-23","Won 4/7 bids, €58k total, last win 2017"
"Mastercard","2","AI video angle","Finance","pending","2026-05-24","Quoted 1x, never won"
"ING Bank","2","AI video angle","Finance","pending","2026-05-25","Financial brand content"
"Banca Mediolanum","2","AI video angle","Finance","pending","2026-05-26","Quoted 1x, never won"
"BMW","2","AI video angle","Auto","pending","2026-05-20","Premium auto AI content"
"Mercedes","1","Existing client","Auto","pending","2026-05-21","Won 2/5 bids, €18k total, last win 2014"
"Lamborghini","1","Existing client","Auto","pending","2026-05-22","Won 1/7 bids, €10k total, last win 2021"
"Land Rover / Range Rover","2","AI video angle","Auto","pending","2026-05-23","Past client list"
"Mazda","1","Existing client","Auto","pending","2026-05-24","Won 1/2 bids, €16k total, last win 2016"
"Opel","1","Existing client","Auto","pending","2026-05-24","Won 1/6 bids, €5k total, last win 2018"
"Ford","1","Existing client","Auto","pending","2026-05-25","Won 1/3 bids, €58k total, last win 2013"
"Suzuki","2","AI video angle","Auto","pending","2026-05-25","Past client list"
"Lancia","1","Existing client","Auto","pending","2026-05-26","Won 2/10 bids, €91k total, last win 2021"
"Toyota","2","AI video angle","Auto","pending","2026-05-27","Quoted 1x, never won"
"Subaru","2","AI video angle","Auto","pending","2026-05-27","Quoted 1x, never won"
"Renault / Nissan","2","AI video angle","Auto","pending","2026-05-28","Auto brand content"
"Volvo","2","AI video angle","Auto","pending","2026-05-28","Premium auto content"
"Porsche","2","AI video angle","Auto","pending","2026-05-29","Premium auto content"
"Ducati / Yamaha","2","AI video angle","Auto","pending","2026-05-29","Motorsport brand content"
"Michelin","2","AI video angle","Auto","pending","2026-05-30","Auto brand content"
"Carglass","2","AI video angle","Auto","pending","2026-05-30","Quoted 1x, never won"
"Johnson & Johnson","2","AI video angle","Pharma","pending","2026-05-21","Past collaboration listed"
"Sanofi","1","Existing client","Pharma","pending","2026-05-22","Won 3/3 bids, €53k total, last win 2024"
"Amgen","1","Existing client","Pharma","pending","2026-05-23","Won 2/2 bids, €21k total, last win 2017"
"TauMarin","2","AI video angle","Pharma","pending","2026-05-25","Past client list"
"Roberto Benigni","2","AI video angle","Private Individual","pending","2026-05-25",""
"L'Oreal","2","AI video angle","Beauty","pending","2026-05-22","Large beauty content budget"
"Collistar","2","AI video angle","Beauty","pending","2026-05-26","Italian beauty — good fit"
"Filorga","2","AI video angle","Beauty","pending","2026-05-27","Beauty brand content"
"La Prairie","2","AI video angle","Beauty","pending","2026-05-28","Luxury beauty content"
"Gucci","1","Existing client","Luxury","pending","2026-05-23","Won 1/1 bids, €11k total, last win 2020"
"Prada","2","AI video angle","Luxury","pending","2026-05-24","Luxury AI content fit"
"Chanel","2","AI video angle","Luxury","pending","2026-05-25","Luxury AI content fit"
"Cartier","2","AI video angle","Luxury","pending","2026-05-25","Luxury AI content fit"
"Tiffany","2","AI video angle","Luxury","pending","2026-05-26","Luxury AI content fit"
"Burberry","2","AI video angle","Luxury","pending","2026-05-26","Luxury AI content fit"
"Dior","1","Existing client","Luxury","pending","2026-05-27","Won 1/1 bids, €10k total, last win 2023"
"Louis Vuitton / LVMH","2","AI video angle","Luxury","pending","2026-05-27","Luxury AI content fit"
"Fendi","2","AI video angle","Luxury","pending","2026-05-28","Quoted 1x, never won"
"Tod's","2","AI video angle","Luxury","pending","2026-05-28","Italian luxury content"
"Hogan","2","AI video angle","Luxury","pending","2026-05-29","Italian luxury content"
"Roger Vivier","2","AI video angle","Luxury","pending","2026-05-29","Luxury brand content"
"Ermenegildo Zegna","2","AI video angle","Fashion","pending","2026-05-22","Premium fashion AI content"
"Brunello Cucinelli","2","AI video angle","Fashion","pending","2026-05-23","Premium fashion AI content"
"Liu-Jo","2","AI video angle","Fashion","pending","2026-05-24","Past client list"
"Stella McCartney","2","AI video angle","Fashion","pending","2026-05-25","Quoted 1x, never won"
"Armani Exchange","2","AI video angle","Fashion","pending","2026-05-26","Quoted 1x, never won"
"Diesel","2","AI video angle","Fashion","pending","2026-05-26","Fashion brand content"
"D&G","2","AI video angle","Fashion","pending","2026-05-27","Fashion brand content"
"Calzedonia / Intimissimi","2","AI video angle","Fashion","pending","2026-05-27","Large content production needs"
"Max Mara","2","AI video angle","Fashion","pending","2026-05-28","Italian fashion content"
"Herno","2","AI video angle","Fashion","pending","2026-05-28","Italian fashion content"
"Geox","2","AI video angle","Fashion","pending","2026-05-29","Italian fashion content"
